World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
351Top 1.7%,University of New Mexico,USA,105,471,1671,-,310,76.2
352Top 1.7%,Aalto University,Finland,2,-,205,-,361,76.2
353Top 1.7%,Dalhousie University,Canada,14,330,408,-,328,76.2
354Top 1.7%,Nanjing Medical University,China,53,-,-,-,312,76.2
355Top 1.7%,Queensland University of Technology,Australia,12,-,1131,-,316,76.2
356Top 1.7%,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,3,13,-,237,1177,76.2
357Top 1.7%,Northwest A&F University,China,54,-,1687,-,315,76.1
358Top 1.7%,Ben-Gurion University of the Negev,Israel,5,-,-,208,389,76.1
359Top 1.7%,Nanjing Agricultural University,China,55,-,1303,-,319,76.1
360Top 1.7%,Durham University,United Kingdom,28,361,421,-,337,76.1
361Top 1.7%,London School of Economics and Political Science,United Kingdom,29,263,101,265,461,76.1
362Top 1.7%,École des ponts ParisTech,France,19,236,22,-,999,76.1
363Top 1.7%,Islamic Azad University,Iran,1,-,-,-,321,76.1
364Top 1.7%,Temple University,USA,106,-,500,-,331,76.1
365Top 1.8%,Deakin University,Australia,13,-,1126,-,323,76.0
366Top 1.8%,Eindhoven University of Technology,Netherlands,11,-,934,231,384,76.0
367Top 1.8%,Beijing University of Chemical Technology,China,56,-,1249,-,325,76.0
368Top 1.8%,Umeå University,Sweden,7,-,1227,280,347,76.0
369Top 1.8%,University of Campinas,Brazil,3,-,1557,-,327,76.0
370Top 1.8%,Nantes University,France,20,-,1710,-,330,76.0
371Top 1.8%,Queen's University Belfast,United Kingdom,30,412,1103,-,333,76.0
372Top 1.8%,University of the Basque Country,Spain,7,-,1094,-,336,75.9
373Top 1.8%,Huazhong Agricultural University,China,57,-,1296,-,334,75.9
374Top 1.8%,University of Rome Tor Vergata,Italy,13,-,1715,-,332,75.9
375Top 1.8%,University of South Carolina - Columbia,USA,107,-,622,-,346,75.9
376Top 1.8%,Southern Medical University,China,58,-,-,-,340,75.9
377Top 1.8%,University of Düsseldorf,Germany,26,226,-,-,353,75.9
378Top 1.8%,Wuhan University of Technology,China,59,-,957,-,344,75.9
379Top 1.8%,Griffith University,Australia,14,-,1486,-,342,75.8
380Top 1.8%,Lancaster University,United Kingdom,31,-,663,-,351,75.8
381Top 1.8%,Louisiana State University - Baton Rouge,USA,108,472,261,-,371,75.8
382Top 1.8%,Drexel University,USA,109,-,266,232,421,75.8
